12		訊號山花園	Signal Hill Garden	打卡	PhotoTaking	油尖旺	Yau Tsim Mong	https://www.google.com/maps/place/%E8%A8%8A%E8%99%9F%E5%B1%B1%E8%8A%B1%E5%9C%92/@22.2960912,114.171877,17z/data=!3m1!4b1!4m6!3m5!1s0x340400f1ee1e18d7:0x99c76496c574cdc3!8m2!3d22.2960863!4d114.1744519!16s%2Fg%2F119w87v8r?entry=ttu&g_ep=EgoyMDI1MDMyNC4wI																																														
13		舊油麻地警署	Old Yau Ma Tei Police Station	打卡	PhotoTaking	油尖旺	Yau Tsim Mong	https://www.google.com/maps/place/%E6%B2%B9%E9%BA%BB%E5%9C%B0%E8%AD%A6%E7%BD%B2/@22.3102668,114.1634892,17z/data=!3m1!4b1!4m6!3m5!1s0x340400c01c9c1b35:0x8c42f099225e4e31!8m2!3d22.3102619!4d114.1660641!16zL20vMDlydjky?entry=ttu&g_ep=EgoyMDI1MDMyNC4wI																																														
14		尖沙咀海傍	Tsim Sha Tsui Promenade	打卡	PhotoTaking	油尖旺	Yau Tsim Mong	https://www.google.com/maps/place/%E5%B0%96%E6%B2%99%E5%92%80%E6%B5%B7%E6%BF%B1%E5%85%AC%E5%9C%92/@22.2970205,114.1754848,17z/data=!3m1!4b1!4m6!3m5!1s0x340400efdd762e1d:0x31625bef2efb5abe!8m2!3d22.2970156!4d114.1780597!16s%2Fg%2F155pg2c1?entry=ttu&g_ep=EgoyMDI1MDMyNC4wI																																														
15		香港文物探知館	Hong Kong Heritage Discovery Centre	打卡	PhotoTaking	油尖旺	Yau Tsim Mong	https://www.google.com/maps/place/%E9%A6%99%E6%B8%AF%E6%96%87%E7%89%A9%E6%8E%A2%E7%9F%A5%E9%A4%A8/@22.2993211,114.1698495,17z/data=!3m1!4b1!4m6!3m5!1s0x340400ed130382b7:0x71956b0023b031f5!8m2!3d22.2993211!4d114.1698495!16zL20vMGIzdHk1?entry=ttu&g_ep=EgoyMDI1MDMyNC4wI																																														
16		志蓮淨苑南蓮園池	Chi Lin Nunnery	打卡	PhotoTaking	黃大仙	Wong Tai Sin	https://www.google.com/maps/place/%E5%8D%97%E8%93%AE%E5%9C%92%E6%B1%A0/@22.3396163,114.20194,17z/data=!3m1!4b1!4m6!3m5!1s0x340406c51bbb8503:0xef6bb4cc5b0b6ccf!8m2!3d22.3396114!4d114.2045149!16s%2Fm%2F0gg8pj7?entry=ttu&g_ep=EgoyMDI1MDMyNC4wI																																														
17		屯門浩和街	Ho Wo Street	打卡	PhotoTaking	屯門區	Tuen Mun	https://www.google.com/maps/place/%E6%9C%9B%E5%90%8E%E7%9F%B3%E6%B5%A9%E5%92%8C%E8%A1%97/@22.360816,113.9469926,17z/data=!3m1!4b1!4m6!3m5!1s0x3403e3537ad94589:0x44864b8a7b12a91e!8m2!3d22.3608111!4d113.9495675!16s%2Fg%2F11ll6nhygg?entry=ttu&g_ep=EgoyMDI1MDMyNC4wI																																														
18		Tamora	Tamora	打卡	PhotoTaking	大 埔	Tai Po	https://www.google.com/maps/place/Tamora/@22.4735674,114.2316126,17z/data=!3m1!4b1!4m6!3m5!1s0x340409c1b66c0537:0x8ece52384734905d!8m2!3d22.4735625!4d114.2341875!16s%2Fg%2F11l2fd12dk?entry=ttu&g_ep=EgoyMDI1MDMyNC4wI																																														
19		黄大仙祠	Wong Tai Sin Temple	文化體驗	Culture	黃大仙	Wong Tai Sin	https://www.google.com.hk/maps/place/%E9%BB%83%E5%A4%A7%E4%BB%99%E7%A5%A0/@22.3427417,114.1910692,17z/data=!4m10!1m2!2m1!1z6buD5aSn5LuZ5bqZ!3m6!1s0x3404070883d3c0bf:0x11852ad6a3355d86!8m2!3d22.342202!4d114.1936651!15sCgzpu4PlpKfku5nlupmSARBwbGFjZV9vZl93b3JzaGlw4AEA!16s%2Fg%2F11t0p6k_q6?hl=zh-TW&entry=ttu&g_ep=EgoyMDI1MDMyNS4xI																																														
20		沙田車公廟	Che Kung Temple	文化體驗	Culture	沙田	Sha Tin	https://www.google.com.hk/maps/place/%E6%B2%99%E7%94%B0%E8%BB%8A%E5%85%AC%E5%BB%9F/@22.3734239,114.1802561,17z/data=!3m1!4b1!4m6!3m5!1s0x34040707791672c9:0x77ad4b8165796702!8m2!3d22.373419!4d114.182831!16zL20vMDY1aGRx?hl=zh-TW&entry=ttu&g_ep=EgoyMDI1MDMyNS4xI																																														
21		太平山山頂	Victoria Peak	觀光	Sightseeing	中西區	Central and Western	https://www.google.com.hk/maps/place/%E5%A4%AA%E5%B9%B3%E5%B1%B1/@22.275893,114.1403821,16z/data=!3m1!4b1!4m6!3m5!1s0x3403ff89dfbeddb1:0x2e318b3c62d99338!8m2!3d22.2758835!4d114.145532!16zL20vMDFuamZz?hl=zh-TW&entry=ttu&g_ep=EgoyMDI1MDMyNS4xI																																														
22		鯉魚門天后廟	Lei Yue Mun Tin Hau Temple	文化體驗	Culture	觀塘區	Kwun Tong	https://www.google.com.hk/maps/place/%E9%A6%AC%E7%92%B0%E6%9D%91%E9%AF%89%E9%AD%9A%E9%96%80%E5%A4%A9%E5%90%8E%E5%BB%9F/@22.2912673,114.241558,16.71z/data=!4m6!3m5!1s0x340403d7f085641d:0x4a76768a56d6f964!8m2!3d22.2862489!4d114.2398508!16s%2Fg%2F155q2v1x?hl=zh-TW&entry=ttu&g_ep=EgoyMDI1MDMyNS4xI																																														
23		鯉魚門海鮮街	Lei Yue Mun Seafood Street	美食	Delicacy	觀塘區	Kwun Tong	https://www.google.com.hk/maps/place/%E9%AF%89%E9%AD%9A%E9%96%80%E6%B5%B7%E9%AE%AE%E8%A1%97/@22.2912794,114.241558,16z/data=!4m10!1m2!2m1!1z6a-J6a2a6ZaA5rW36a6u576O6aOf5Y2A!3m6!1s0x34040162096d51b5:0x1665c8d050ee86cb!8m2!3d22.2915139!4d114.2388643!15sChjpr4nprZrploDmtbfprq7nvo7po5_ljYBaHiIc6a-J6a2aIOmWgCDmtbfprq4g576O6aOfIOWNgJIBCnJlc3RhdXJhbnTgAQA!16s%2Fg%2F11dzd13j_4?hl=zh-TW&entry=ttu&g_ep=EgoyMDI1MDMyNS4xI																																														
